datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,25,50,False,True,1,21458.18451278251,480.3164429530201,600368.783557047,358448214.0,0.0
100,25,50,False,True,2,24960.15853211009,480.1085570469798,600100.3573825504,358343602.0,0.0
100,25,50,False,True,3,25467.34853667807,475.6580536912751,594555.3187919463,354900544.0,0.0
100,25,50,False,False,0,16669.249170659787,463.3865771812081,579206.716442953,346562470.0,0.0
100,25,50,False,False,1,15915.719101123595,461.746812080537,577161.7818791947,345266946.0,0.0
100,25,50,False,False,2,14412.591672753835,464.75318791946313,580938.884228188,347595754.0,0.0
100,25,50,False,False,3,14780.42304964539,467.09010067114093,583825.649328859,349397486.0,0.0
100,25,75,True,True,0,13404.832432432433,709.0505033557047,886280.5234899329,531044995.0,4547520066.0
100,25,75,True,True,1,10751.4696485623,709.1286912751679,886354.043624161,531283144.0,4554950249.0
100,25,75,True,True,2,12717.40686586141,708.2416107382551,885259.3859060403,530519399.0,4523726832.0
100,25,75,True,True,3,12720.767564018384,704.4959663865545,880588.7092436975,526662113.0,4596023962.0
100,25,75,True,False,0,3985.78905687545,640.5573109243697,800634.2134453781,478470634.0,32746931.0
100,25,75,True,False,1,3500.277258566978,633.5521008403362,791895.6907563026,473319161.0,27217151.0
100,25,75,True,False,2,5526.018382352941,639.2699159663865,799041.4302521008,477721193.0,25142675.0
100,25,75,True,False,3,4419.273504273504,635.4403361344538,794262.4941176471,474844187.0,26942924.0
100,25,75,False,True,0,50860.21590023383,400.55050335570473,500664.5302013423,298670292.0,0.0
100,25,75,False,True,1,50709.8766383963,394.9238255033557,493628.02516778524,294539899.0,0.0
100,25,75,False,True,2,48202.577967416604,394.29412751677853,492847.7466442953,293987383.0,0.0
100,25,75,False,True,3,47900.14492753623,391.43959731543623,489267.0100671141,291902826.0,0.0
100,25,75,False,False,0,31254.13405146619,432.6588926174497,540782.7348993289,323431162.0,0.0
100,25,75,False,False,1,29901.320899940794,426.873322147651,533564.3758389262,319076734.0,0.0
100,25,75,False,False,2,30358.663573085847,426.66963087248325,533313.5,318870537.0,0.0
100,25,75,False,False,3,27479.499719887954,424.021512605042,530006.0857142857,316450039.0,0.0
100,50,1,True,True,0,36774.06,7.008585858585859,8759.855218855218,5246254.0,706849327.0
100,50,1,True,False,0,5759.285714285715,14.438448566610452,18048.701517706577,10791602.0,847242773.0
100,50,1,True,False,1,64975.857142857145,30.743581081081082,38425.9222972973,22872673.0,767468738.0
100,50,1,True,False,2,21924.24064171123,27.003035413153455,33753.60033726813,20136945.0,780342830.0
100,50,1,True,False,3,123663.11111111111,18.5212478920742,23151.224283305226,13825183.0,800700176.0
100,50,1,False,True,0,26178.313225437305,71.26447811447812,89081.39225589225,53144632.0,0.0
100,50,1,False,True,1,24918.546691403833,70.89327731092438,88617.25546218487,52955372.0,0.0
100,50,1,False,True,2,24810.074597083654,68.31344537815126,85392.25714285714,51048513.0,0.0
100,50,1,False,True,3,24142.298937784522,68.62621848739495,85781.49915966387,51275710.0,0.0
100,50,1,False,False,0,3554.4419865267114,197.85050505050503,247311.82996632997,147665971.0,0.0
100,50,1,False,False,1,3720.0143069552287,197.22087542087542,246525.42424242425,147123295.0,0.0
100,50,1,False,False,2,3374.6801537279016,195.04124579124579,243801.56565656565,145588890.0,0.0
100,50,1,False,False,3,2931.7747161488824,195.30252525252524,244127.32323232322,145668508.0,0.0
